,loss,acc,categorical_accuracy,top_k_categorical_accuracy,precision,recall,val_loss,val_acc,val_categorical_accuracy,val_top_k_categorical_accuracy,val_precision,val_recall,lr
0,10.567801475524902,0.14016228914260864,0.14016228914260864,0.3957213759422302,0.2295593023300171,0.4046820402145386,10.698017120361328,0.15339232981204987,0.15339232981204987,0.4412136673927307,0.2536030411720276,0.420134037733078,8.0
1,10.3726806640625,0.14374539256095886,0.14374539256095886,0.40510064363479614,0.3348720967769623,0.2200413942337036,10.606672286987305,0.15339232981204987,0.15339232981204987,0.4412136673927307,0.3919089734554291,0.12985199689865112,4.0
2,10.343719482421875,0.14448308944702148,0.14448308944702148,0.4074191153049469,0.3894417881965637,0.06423524022102356,10.591950416564941,0.15339232981204987,0.15339232981204987,0.4412136673927307,0.0,0.0,2.0
3,10.30263614654541,0.14448308944702148,0.14448308944702148,0.41637685894966125,1.0,7.137249485822394e-05,10.474594116210938,0.15339232981204987,0.15339232981204987,0.44289928674697876,0.0,0.0,1.5
4,10.189311027526855,0.15354621410369873,0.15354621410369873,0.4328169524669647,0.0,0.0,10.397953987121582,0.16772018373012543,0.16772018373012543,0.43910661339759827,0.0,0.0,1.0
5,10.126225471496582,0.158604696393013,0.158604696393013,0.44198545813560486,0.0,0.0,10.339516639709473,0.17530551552772522,0.17530551552772522,0.4475347697734833,0.0,0.0,1.0
6,10.041108131408691,0.1632416546344757,0.1632416546344757,0.452840119600296,0.0,0.0,10.226840019226074,0.18584071099758148,0.18584071099758148,0.4808259606361389,0.0,0.0,1.0
7,9.947627067565918,0.1670355200767517,0.1670355200767517,0.4652755856513977,0.0,0.0,10.125298500061035,0.18752634525299072,0.18752634525299072,0.4841972291469574,0.0,0.0,1.0
8,9.859973907470703,0.17441247403621674,0.17441247403621674,0.47929179668426514,0.0,0.0,10.051122665405273,0.182048037648201,0.182048037648201,0.4951538145542145,0.0,0.0,1.0
9,9.776403427124023,0.17883865535259247,0.17883865535259247,0.48940879106521606,0.0,0.0,9.988837242126465,0.17319847643375397,0.17319847643375397,0.5212810635566711,0.0,0.0,1.0
10,9.707640647888184,0.1795763522386551,0.1795763522386551,0.4959426820278168,0.0,0.0,9.946310043334961,0.18836915493011475,0.18836915493011475,0.508217453956604,0.0,0.0,1.0
11,9.643568992614746,0.18589946627616882,0.18589946627616882,0.5040573477745056,0.0,0.0,9.908169746398926,0.18879055976867676,0.18879055976867676,0.50948166847229,0.0,0.0,1.0
12,9.600680351257324,0.1918010264635086,0.1918010264635086,0.5045842528343201,0.0,0.0,9.878633499145508,0.19300463795661926,0.19300463795661926,0.514959990978241,0.0,0.0,1.0
13,9.546195030212402,0.19211718440055847,0.19211718440055847,0.5076404213905334,0.0,0.0,9.861028671264648,0.19342604279518127,0.19342604279518127,0.5141171216964722,0.0,0.0,1.0
14,9.51473617553711,0.1946464329957962,0.1946464329957962,0.5103804469108582,0.0,0.0,9.858085632324219,0.190054789185524,0.190054789185524,0.5132743120193481,0.0,0.0,1.0
15,9.468323707580566,0.19801875948905945,0.19801875948905945,0.5209189653396606,0.0,0.0,9.843671798706055,0.190897598862648,0.190897598862648,0.517067015171051,0.0,0.0,1.0
16,9.444363594055176,0.1994941532611847,0.1994941532611847,0.5184950828552246,0.0,0.0,9.824110984802246,0.1984829306602478,0.1984829306602478,0.5132743120193481,0.0,0.0,1.0
17,9.404748916625977,0.19981031119823456,0.19981031119823456,0.5169143080711365,0.0,0.0,9.812746047973633,0.19511167705059052,0.19511167705059052,0.515381395816803,0.0,0.0,1.0
18,9.389751434326172,0.19959953427314758,0.19959953427314758,0.5219728350639343,0.0,0.0,9.83752155303955,0.19216181337833405,0.19216181337833405,0.5124315023422241,0.0,0.0,1.0
19,9.350619316101074,0.20255032181739807,0.20255032181739807,0.5253451466560364,0.0,0.0,9.78792953491211,0.1984829306602478,0.1984829306602478,0.5208596587181091,0.0,0.0,1.0
20,9.328198432922363,0.20834650099277496,0.20834650099277496,0.5247128009796143,0.0,0.0,9.788297653198242,0.19595448672771454,0.19595448672771454,0.5208596587181091,0.0,0.0,1.0
21,9.29704761505127,0.2098218947649002,0.2098218947649002,0.5251343846321106,0.0,0.0,9.789450645446777,0.1946902722120285,0.1946902722120285,0.5225452780723572,0.0,0.0,1.0
22,9.280357360839844,0.20750342309474945,0.20750342309474945,0.5258720517158508,0.0,0.0,9.820722579956055,0.18963336944580078,0.18963336944580078,0.5141171216964722,0.0,0.0,1.0
23,9.2500581741333,0.2099272906780243,0.2099272906780243,0.5318790078163147,0.0,0.0,9.805225372314453,0.19174040853977203,0.19174040853977203,0.515802800655365,0.0,0.0,1.0
24,9.238166809082031,0.2098218947649002,0.2098218947649002,0.530825138092041,0.0,0.0,9.769370079040527,0.1980615258216858,0.1980615258216858,0.517909824848175,0.0,0.0,1.0
25,9.211151123046875,0.21635578572750092,0.21635578572750092,0.5338813066482544,0.0,0.0,9.771989822387695,0.19216181337833405,0.19216181337833405,0.5221238732337952,0.0,0.0,1.0
26,9.18649673461914,0.2137211561203003,0.2137211561203003,0.5363051891326904,0.0,0.0,9.772244453430176,0.1984829306602478,0.1984829306602478,0.517909824848175,0.0,0.0,1.0
27,9.17214584350586,0.2156180888414383,0.2156180888414383,0.5384129285812378,0.0,0.0,9.795151710510254,0.19216181337833405,0.19216181337833405,0.517488420009613,0.0,0.0,1.0
28,9.15185546875,0.21709348261356354,0.21709348261356354,0.5404152274131775,0.0,0.0,9.799324035644531,0.19342604279518127,0.19342604279518127,0.517488420009613,0.0,0.0,1.0
29,9.131755828857422,0.21804194152355194,0.21804194152355194,0.5438929200172424,0.0,0.0,9.764939308166504,0.1946902722120285,0.1946902722120285,0.5233880877494812,0.0,0.0,1.0
