,HiddenNodes,lit_accuracy,lit_precision,lit_recall,lit_f1,sklearn_hamLoss,sklearn_accuracy,term_wise_accuracy,sklearn_macro_precision,sklearn_micro_precision,sklearn_macro_recall,sklearn_micro_recall,sklearn_macro_f1,sklearn_micro_f1,activation,type,phase,total_time,model_nm
0,100,0.09915108554774701,0.214102193531811,0.1079192970281656,0.14350444858796063,0.0407675845999981,0.03844300992388477,0.9592324154000019,0.05152445248339708,0.6312670920692799,0.010760868202190474,0.0887991280374431,0.013861665651545162,0.1556967005789444,_relu_leaky,t2_xl,train,22.405894994735718,t2_xl_100__relu_leaky_uniform
1,200,0.12498718576011739,0.257234158717924,0.13548817618932818,0.17749022105665885,0.04008636073110791,0.05154639175257732,0.9599136392688921,0.07495373152399877,0.6607698289269052,0.013934025561270312,0.10896326216580111,0.017946094697179775,0.18707688920689086,_relu_leaky,t2_xl,train,35.40891170501709,t2_xl_200__relu_leaky_uniform
2,300,0.13838179073259738,0.2834730385072422,0.15020738083764587,0.19636460745256787,0.03966297059745504,0.057327295500529916,0.960337029402545,0.11420033940820283,0.6753478415982875,0.015947500304193826,0.12136949413348722,0.020516473092065578,0.2057608695652174,_relu_leaky,t2_xl,train,49.83305621147156,t2_xl_300__relu_leaky_uniform
3,400,0.15283215771770628,0.30348138870154473,0.16616196870384256,0.21474620780422138,0.0393549271348294,0.06638404470565565,0.9606450728651706,0.1381255496918448,0.6812696313440239,0.018164733105183895,0.13210873886003718,0.02372259558391634,0.22130333216980372,_relu_leaky,t2_xl,train,62.43657302856445,t2_xl_400__relu_leaky_uniform
4,500,0.1633106635124757,0.3213540161222983,0.17656283511323584,0.2279062298083888,0.039007530102088586,0.07322478080739955,0.9609924698979114,0.16440589604715372,0.6929257917126201,0.02017185725949191,0.1409886516637815,0.026814625572189367,0.23430382781492234,_relu_leaky,t2_xl,train,76.104012966156,t2_xl_500__relu_leaky_uniform
5,600,0.17680087625548402,0.34068953335260294,0.19176764207204355,0.24540275351740273,0.038653347971052056,0.07968012332594662,0.961346652028948,0.22277714824271713,0.6999704840613932,0.02290088153057595,0.15204847085978074,0.031014366222771296,0.24982881222017386,_relu_leaky,t2_xl,train,89.36869883537292,t2_xl_600__relu_leaky_uniform
6,700,0.1853436249036052,0.35430998490541804,0.20086716688923414,0.2563839042671647,0.03826524034853693,0.08353405915791502,0.961734759651463,0.22369286054844087,0.7136947218259629,0.024458969877384246,0.1603834070654613,0.033213932837570355,0.26190974767040104,_relu_leaky,t2_xl,train,105.78178119659424,t2_xl_700__relu_leaky_uniform
7,800,0.19406319131919741,0.3690480778495035,0.21069251656568225,0.2682429659226326,0.03799926449534474,0.08844782734367473,0.9620007355046553,0.2877033318412848,0.7197136563876652,0.02692864153949141,0.1675963326280695,0.03721826652076118,0.2718810130532009,_relu_leaky,t2_xl,train,11351.581280946732,t2_xl_800__relu_leaky_uniform
8,900,0.19886187166940422,0.3734576227639142,0.2149345409577013,0.27284164428095176,0.037817423861019474,0.09114558242605261,0.9621825761389805,0.3595055975073117,0.7216742202079446,0.028907360582872618,0.1735590177598256,0.04058448432498789,0.27982220384535866,_relu_leaky,t2_xl,train,119.97518754005432,t2_xl_900__relu_leaky_uniform
9,1000,0.20776515957525685,0.39129813405273467,0.224928293996798,0.2856548104085447,0.037514808477030405,0.09442142788322574,0.9624851915229696,0.2808754535938842,0.7282902354303358,0.030363673923967823,0.18147720715522217,0.04231072967788006,0.29055354530756794,_relu_leaky,t2_xl,train,126.7222261428833,t2_xl_1000__relu_leaky_uniform
10,2000,0.29198330459494537,0.5047772746250446,0.31465773310515477,0.3876624050917055,0.03404219516928142,0.13710376722227574,0.9659578048307186,0.6902618384407586,0.795129493621956,0.06445280069839528,0.26376867346284544,0.09624233872913913,0.3961292186221174,_relu_leaky,t2_xl,train,251.34896230697632,t2_xl_2000__relu_leaky_uniform
11,3000,0.4003376175359489,0.6187222902778361,0.4294033544721443,0.5069648438863762,0.029190849887842325,0.20589652182291165,0.9708091501121576,0.9651672556172066,0.8499457896638959,0.15246164211516589,0.3769635186253767,0.23550320450678391,0.522285638144307,_relu_leaky,t2_xl,train,380.0320384502411,t2_xl_3000__relu_leaky_uniform
12,4000,0.527634500793035,0.723463236135461,0.5587300195113979,0.6305143569606725,0.02313854220806097,0.3106272280566529,0.976861457791939,0.9839940141501846,0.8984168122147727,0.30310044043376067,0.5111880489837789,0.44177351828250333,0.6516151441472734,_relu_leaky,t2_xl,train,510.9377472400665,t2_xl_4000__relu_leaky_uniform
13,5000,0.6814534930125702,0.8276684456362189,0.7124711568005195,0.7657616153454458,0.015582656745948279,0.46844590037575873,0.9844173432540517,0.9882289236278092,0.9356792361080412,0.5498779915093397,0.678527922036289,0.6991233471749996,0.7866208306234321,_relu_leaky,t2_xl,train,653.3247985839844,t2_xl_5000__relu_leaky_uniform
14,6000,0.8101312870757533,0.8960897104094913,0.8362339574170431,0.8651277571893753,0.009136813365015218,0.6407168320647462,0.9908631866349847,0.990764836696379,0.9576426566884939,0.7756872051224136,0.8204462396614733,0.8684818230804839,0.8837514459849098,_relu_leaky,t2_xl,train,822.678108215332,t2_xl_6000__relu_leaky_uniform
15,7000,0.8944113051910639,0.9388228561752017,0.9136782253901548,0.9260798924457871,0.004839132104506798,0.790731284324116,0.9951608678954932,0.9919378556432945,0.9725319833071082,0.9090897970921503,0.9114252740911714,0.9484058309715616,0.9409876216323558,_relu_leaky,t2_xl,train,1007.2498891353607,t2_xl_7000__relu_leaky_uniform
16,8000,0.939560013691202,0.9609192554563005,0.9504446330809762,0.955653242849049,0.002754749908061918,0.8942094614124675,0.9972452500919381,0.9931657310273897,0.9820814599312351,0.9485297977414682,0.9522985189459512,0.9700708138775463,0.9669607109143582,_relu_leaky,t2_xl,train,1163.759168624878,t2_xl_8000__relu_leaky_uniform
17,9000,0.9524757936004582,0.9679228662271345,0.9597635498179867,0.9638259400572654,0.002144091061447207,0.9304364582329704,0.9978559089385528,0.9916902114851398,0.984807805644686,0.9552234376789605,0.9642238892094633,0.9728210036595142,0.9744071530387456,_relu_leaky,t2_xl,train,1325.131980419159,t2_xl_9000__relu_leaky_uniform
18,10000,0.9549797765690433,0.9685524571134938,0.9636239864127909,0.9660819361509952,0.002115593648605187,0.9330378649195491,0.9978844063513949,0.9895175457889492,0.9824818468952493,0.9576973740871156,0.9672693466692313,0.9729490473353998,0.9748162507067281,_relu_leaky,t2_xl,train,1488.7172334194183,t2_xl_10000__relu_leaky_uniform
